"Dept Unit","Job Class","Exposure Type","Count","% of Total"
"Non-TGH-FOI: NTFOI","Fellow: FEL","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Non-TGH-Shadowing Program: NTSP","Non-TGH-Observer: NTOBS","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Airforce: NTAF","NonTGH-RN (Military): Non Military","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-All Medical: Non All Med","NonTGH-Contractor/Vendor: NonTGH-Con/V","EXP- Not considered  BBP Exp","1","0.0"
"NonTGH-All Medical: Non All Med","NonTGH-Contractor/Vendor: NonTGH-Con/V","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-Allied Hlth Practitione: Allied Healt","NonTGH-Physician Assistant: NONTGH-PA","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Concorde: Concorde","NonTGH-Student (CST): NonTGH-CST","EXPNS-Needlestick/Sharp BBP","5","0.2"
"NonTGH-Concorde: Concorde","NonTGH-Student (Other): NONTGH-STO","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Concorde: Concorde","Student - PT/OT/ST: PTOTST","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Contractor(Self Employ): Self/Contrac","NonTGH-Contractor/Vendor: NonTGH-Con/V","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Cross Country: Cross","NonTGH-Contractor/Vendor: NonTGH-Con/V","EXPMM- Mucous Membrane BBP","2","0.1"
"NonTGH-Erwin: Erwin","NonTGH-Student (CST): NonTGH-CST","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-Erwin: Erwin","NonTGH-Student (Other): NONTGH-STO","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Erwin: Erwin","STUDENT INTERN/CLI RES: 5098","EXPNIS- Non-Intact Skin BBP","1","0.0"
"NonTGH-Everest: Everest","STUDENT INTERN: 35100","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-FACTS (Fl Adv Cardioth): FACTS","NonTGH-Physician (Private): NonTGH-MD","EXP-Source Patient Test Only","2","0.1"
"NonTGH-FACTS (Fl Adv Cardioth): FACTS","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-FACTS (Fl Adv Cardioth): FACTS","NonTGH-Physician (Private): NonTGH-MD","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-ARNP: NONTGH-ARNP","CD-N.Meningitis  Exp Confirmed","3","0.1"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-ARNP: NONTGH-ARNP","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-ARNP: NONTGH-ARNP","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-CRNA: NonTgh-CRNA","EXP- Not considered  BBP Exp","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-CRNA: NonTgh-CRNA","EXPMM- Mucous Membrane BBP","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-CRNA: NonTgh-CRNA","EXPNIS- Non-Intact Skin BBP","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-CRNA: NonTgh-CRNA","EXPNS-Needlestick/Sharp BBP","15","0.6"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-CRNA: NonTgh-CRNA","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-Physician (Attending): Attend","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-Physician (Private): NonTGH-MD","CD-N.Meningitis  Exp Confirmed","2","0.1"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-Physician (Private): NonTGH-MD","EXPMM- Mucous Membrane BBP","2","0.1"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","9","0.3"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-Physician (Private): NonTGH-MD","TB-Exposure Confirmed/Actual","3","0.1"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-Physician (Private): NonTGH-MD","Unspecified","3","0.1"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-Physician Assistant: NONTGH-PA","CD-N.Meningitis  Exp Confirmed","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","NonTGH-Student (SRNA/CRNA): NONTGH-SRN","CD-Pertussis Exposur Confirmed","1","0.0"
"NonTGH-Florida Gulf Anesthesia: FGTBA","Unspecified: Job Class","CD-N.Meningitis  Exp Confirmed","1","0.0"
"NonTGH-Florida Ortho Institute: FOI","NonTGH-Fellow: Fellow","EXPNS-Needlestick/Sharp BBP","4","0.2"
"NonTGH-Florida Ortho Institute: FOI","NonTGH-Physician (Private): NonTGH-MD","EXP-Source Patient Test Only","4","0.2"
"NonTGH-Florida Ortho Institute: FOI","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","3","0.1"
"NonTGH-Florida Pediatric Assoc: FlPedAssoc","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Florida StateUniversity: FSU","NonTGH-Student (Nursing): Nsg Stude","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Hillsborough Com Colleg: HCC","NonTGH-Student (Nursing): Nsg Stude","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-Hillsborough Com Colleg: HCC","NonTGH-Student (Radiology): NONTGH-RAD","CD-Pertussis Exposur Confirmed","1","0.0"
"NonTGH-Hillsborough Com Colleg: HCC","NonTGH-Student (Respiratory): Resp Student","CD-Pertussis Exposur Confirmed","1","0.0"
"NonTGH-HR-PNCAC: PNCAC","NonTGH-HR-Research Associate: Nontgh Rsch","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Jani King (Env Svc): Jani King","NonTGH-Contractor/Vendor: NonTGH-Con/V","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Jani King (Env Svc): Jani King","NonTGH-Env Svc/Housekeeping: NONTGH-JK","EXP- Not considered  BBP Exp","1","0.0"
"NonTGH-Jani King (Env Svc): Jani King","NonTGH-Env Svc/Housekeeping: NONTGH-JK","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-Keiser University: Keiser Unive","NonTGH-Observer: NonTGH-Obser","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-Keiser University: Keiser Unive","NonTGH-Student (Nursing): Nsg Stude","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-Keiser University: Keiser Unive","NonTGH-Student (Other): NONTGH-STO","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-Keiser University: Keiser Unive","NonTGH-Student (Radiology): NONTGH-RAD","CD-N.Meningitis  Exp Confirmed","1","0.0"
"NonTGH-Keiser University: Keiser Unive","NonTGH-Student (Radiology): NONTGH-RAD","CD-Pertussis Exposur Confirmed","2","0.1"
"NonTGH-Keiser University: Keiser Unive","STUDENT INTERN: 35100","CD-Pertussis Exposur Confirmed","1","0.0"
"NonTGH-LeCom School: LeCom","NonTGH-Student (Medical): Med Student","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Medical Staff (Non USF): NonTGH-AHP","NonTGH-Physician (Attending): Attend","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Medical Staff (Non USF): NonTGH-AHP","NonTGH-Physician (Private): NonTGH-MD","ENV-Exposure Ultraviolet Light","1","0.0"
"NonTGH-Medical Staff (Non USF): NonTGH-AHP","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-Midwestern University: Midwest","NonTGH-Student (SRNA/CRNA): NONTGH-SRN","EXP- Not considered  BBP Exp","1","0.0"
"NonTGH-Moffitt Cancer Center: MoffittCance","NonTGH-Fellow: Fellow","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Moffitt Cancer Center: MoffittCance","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-PhysAssistScribes: I Am Scribe","NonTGH-Contractor/Vendor: NonTGH-Con/V","TB-Exposure Confirmed/Actual","1","0.0"
"Nontgh-Pronerve: Pronerve","NonTGH-Other: Nonother","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Radiology Associates: Rad Assoc","NonTGH-Physician (Private): NonTGH-MD","EXPS-Skin Exposure BBP","1","0.0"
"NonTGH-Rehab & Electro: Rehab Electr","NonTGH-Physician (Private): NonTGH-MD","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-Ruffolo Hooper Patholog: NonTGH-Ruffo","NonTGH-Contractor/Vendor: NonTGH-Con/V","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-Ruffolo Hooper Patholog: NonTGH-Ruffo","NonTGH-Pathology Assistant: NONTGH-PATA","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-Ruffolo Hooper Patholog: NonTGH-Ruffo","NonTGH-Physician Assistant: NONTGH-PA","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-School (Foreign): SchoolOther","NonTGH-Observer: NonTGH-Obser","CD-N.Meningitis No Exposure","1","0.0"
"NonTGH-School (Other): School","NonTGH-Observer: NonTGH-Obser","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-School (Other): School","NonTGH-Student (Medical): Med Student","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Self: NonTGH-Self","NonTGH-Observer: NonTGH-Obser","CD-Pertussis Exposur Confirmed","2","0.1"
"NonTGH-Self: NonTGH-Self","NonTGH-Observer: NonTGH-Obser","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Self: NonTGH-Self","NonTGH-Physician (Private): NonTGH-MD","CD-Pertussis Exposur Confirmed","1","0.0"
"NonTGH-Self: NonTGH-Self","NonTGH-Physician (Private): NonTGH-MD","EXP-BBP Personal Exposure","1","0.0"
"NonTGH-Self: NonTGH-Self","NonTGH-Physician (Private): NonTGH-MD","EXP-Source Patient Test Only","3","0.1"
"NonTGH-Self: NonTGH-Self","NonTGH-Physician (Private): NonTGH-MD","EXPNIS- Non-Intact Skin BBP","1","0.0"
"NonTGH-Self: NonTGH-Self","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","4","0.2"
"NonTGH-Self: NonTGH-Self","NonTGH-Physician (Private): NonTGH-MD","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-SOCOM: SOCOM","NonTGH-Paramedic: NONTGH-PARA","EXPMM- Mucous Membrane BBP","1","0.0"
"NonTGH-SOCOM: SOCOM","NonTGH-Paramedic: NONTGH-PARA","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-SOCOM: SOCOM","NonTGH-Paramedic: NONTGH-PARA","EXPS-Skin Exposure BBP","1","0.0"
"NonTGH-SOCOM: SOCOM","NonTGH-Student (Other): NONTGH-STO","EXPMM- Mucous Membrane BBP","1","0.0"
"NonTGH-SOCOM: SOCOM","NonTGH-Student (Other): NONTGH-STO","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-SOCOM: SOCOM","NonTGH-Student-EMT/Paramedic: EMT/Para","EXPMM- Mucous Membrane BBP","1","0.0"
"NonTGH-SOCOM: SOCOM","NonTGH-Student-EMT/Paramedic: EMT/Para","EXPNS-Needlestick/Sharp BBP","3","0.1"
"NonTGH-SOCOM: SOCOM","NonTGH-Student-EMT/Paramedic: EMT/Para","EXPS-Skin Exposure BBP","1","0.0"
"NonTGH-South University: South U","NonTGH-Student (Nursing): Nsg Stude","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-SuncoastCommunityHealth: SuncoastComm","NonTGH-HR-Dental Assistant: Dental Asst","EXPNS-Needlestick/Sharp BBP","4","0.2"
"NonTGH-TampaNeurologyAssoc: TampaNeuro","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-TampaPoliceDepartment: TPD","NonTGH-Other: Nonother","EXP- Not considered  BBP Exp","1","0.0"
"NonTGH-TampaPoliceDepartment: TPD","NonTGH-Other: Nonother","EXPS-Skin Exposure BBP","3","0.1"
"NonTGH-TB Hearing & Balance: TB Hearing","NonTGH-Physician (Private): NonTGH-MD","Unspecified","1","0.0"
"NonTGH-Team Health (ED MDs): Team Health","NonTGH-Physician (Attending): Attend","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Team Health (ED MDs): Team Health","NonTGH-Physician (Private): NonTGH-MD","CD-N.Meningitis No Exposure","2","0.1"
"NonTGH-Team Health (ED MDs): Team Health","NonTGH-Physician (Private): NonTGH-MD","CD-Pertussis Exposur Confirmed","6","0.2"
"NonTGH-Team Health (ED MDs): Team Health","NonTGH-Physician (Private): NonTGH-MD","EXPMM- Mucous Membrane BBP","4","0.2"
"NonTGH-Team Health (ED MDs): Team Health","NonTGH-Physician (Private): NonTGH-MD","EXPNS-Needlestick/Sharp BBP","4","0.2"
"NonTGH-Team Health (ED MDs): Team Health","NonTGH-Physician (Private): NonTGH-MD","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-Team Health (ED MDs): Team Health","NonTGH-Physician Assistant: NONTGH-PA","EXPNIS- Non-Intact Skin BBP","1","0.0"
"NonTGH-Team Health (ED MDs): Team Health","NonTGH-Physician Assistant: NONTGH-PA","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-University North FL: UNF","NonTGH-Student (SRNA/CRNA): NONTGH-SRN","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-University Of Tampa: UT","NonTGH-Student (Nursing): Nsg Stude","CD-N.Meningitis  Exp Confirmed","1","0.0"
"NonTGH-University South FL: USF","NonTGH-ARNP: NONTGH-ARNP","EXP -USF Clinic Staff","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Contractor/Vendor: NonTGH-Con/V","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-University South FL: USF","NonTGH-CRNA: NonTgh-CRNA","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Fellow: Fellow","EXP-Source Patient Test Only","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Fellow: Fellow","EXPMM- Mucous Membrane BBP","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Fellow: Fellow","EXPNIS- Non-Intact Skin BBP","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Fellow: Fellow","EXPNS-Needlestick/Sharp BBP","7","0.3"
"NonTGH-University South FL: USF","NonTGH-Fellow: Fellow","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Physician (Attending): Attend","CD-N.Meningitis  Exp Confirmed","2","0.1"
"NonTGH-University South FL: USF","NonTGH-Physician (Attending): Attend","EXP- Not considered  BBP Exp","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Physician (Attending): Attend","EXP-Source Patient Test Only","2","0.1"
"NonTGH-University South FL: USF","NonTGH-Physician (Attending): Attend","EXPMM- Mucous Membrane BBP","6","0.2"
"NonTGH-University South FL: USF","NonTGH-Physician (Attending): Attend","EXPNS-Needlestick/Sharp BBP","20","0.7"
"NonTGH-University South FL: USF","NonTGH-Physician (Attending): Attend","TB-Exposure Confirmed/Actual","2","0.1"
"NonTGH-University South FL: USF","NonTGH-Physician (Attending): Attend","Unspecified","4","0.2"
"NonTGH-University South FL: USF","NonTGH-Resident: Resident","EXP-Source Patient Test Only","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Resident: Resident","EXPMM- Mucous Membrane BBP","3","0.1"
"NonTGH-University South FL: USF","NonTGH-Resident: Resident","EXPNS-Needlestick/Sharp BBP","33","1.2"
"NonTGH-University South FL: USF","NonTGH-Resident: Resident","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Residents HR: 99053","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Student (Medical): Med Student","CD-N.Meningitis  Exp Confirmed","2","0.1"
"NonTGH-University South FL: USF","NonTGH-Student (Medical): Med Student","CD-Pertussis Exposur Confirmed","2","0.1"
"NonTGH-University South FL: USF","NonTGH-Student (Medical): Med Student","EXP- Not considered  BBP Exp","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Student (Medical): Med Student","EXP-Source Patient Test Only","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Student (Medical): Med Student","EXPMM- Mucous Membrane BBP","3","0.1"
"NonTGH-University South FL: USF","NonTGH-Student (Medical): Med Student","EXPNIS- Non-Intact Skin BBP","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Student (Medical): Med Student","EXPNS-Needlestick/Sharp BBP","27","1.0"
"NonTGH-University South FL: USF","NonTGH-Student (Medical): Med Student","Unspecified","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Student (Nursing): Nsg Stude","EXPNS-Needlestick/Sharp BBP","2","0.1"
"NonTGH-University South FL: USF","NonTGH-Student (Nursing): Nsg Stude","TB-Exposure Confirmed/Actual","2","0.1"
"NonTGH-University South FL: USF","NonTGH-Student (Other): NONTGH-STO","CD-Pertussis Exposur Confirmed","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Student (Other): NONTGH-STO","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-University South FL: USF","NonTGH-Student (SRNA/CRNA): NONTGH-SRN","EXPNS-Needlestick/Sharp BBP","4","0.2"
"NonTGH-University South FL: USF","NonTGH-Student-PT/OT/ST: StudPT/OT/ST","TB-Exposure Confirmed/Actual","1","0.0"
"NonTGH-Visitor: Visitor","NonTGH-Visitor: Non-Tgh Visi","CD-Influenza Exposure","1","0.0"
"NonTGH-Volunteers: Volunteers","NonTGH-Volunteer (Regular): Volunteer Re","CD-Pertussis Exposur Confirmed","2","0.1"
"NonTGH-Volunteers: Volunteers","Unspecified: Job Class","CD-Pertussis Exposur Confirmed","1","0.0"
"NonTGH-West Coast Brace Limb: WCBL","NonTGH-Contractor/Vendor: NonTGH-Con/V","ENV-Exposure Source Unknown","1","0.0"
"NonTGH-Wolford College: WolfordColle","NonTGH-CRNA: NonTgh-CRNA","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Women's Health Care: WomansHealth","NonTGH-Certified Nurse Midwife: NONTGH-CNM","EXPNS-Needlestick/Sharp BBP","1","0.0"
"NonTGH-Women's Health Care: WomansHealth","NonTGH-Other: Nonother","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Nursing Administration: 12000","CLINICAL ADMINISTRATOR: 5324","CD-Influenza Exposure","1","0.0"
"Nursing Administration: 12000","CLINICAL ADMINISTRATOR: 5324","ENV-Exposure Source Unknown","1","0.0"
"Nursing Administration: 12000","NURSE RECRUITER: 5190","ENV-Exposure Source Unknown","1","0.0"
"Nursing Administration: 12000","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Observation Unit: 10735","CLINICAL NURSE (RN): 5334","CD-Scabies Exposure Confirmed","1","0.0"
"Observation Unit: 10735","CLINICAL NURSE (RN): 5334","ENV-Exposure Source Unknown","1","0.0"
"Observation Unit: 10735","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","3","0.1"
"Observation Unit: 10735","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Observation Unit: 10735","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","1","0.0"
"Office Of Clinical Research: 15805","PROJECT COORD CRC: 954","CD-Pertussis Exposur Confirmed","1","0.0"
"Office Of Clinical Research: 15805","RESEARCH PROJ COORD PHY SVCS: 6412","CD-Pertussis Exposur Confirmed","1","0.0"
"Oncology 1 7C1: 10705","CLINICAL NURSE (RN): 5334","CD-Scabies Exposure Confirmed","2","0.1"
"Oncology 1 7C1: 10705","CLINICAL NURSE (RN): 5334","EXP- No Exposure","1","0.0"
"Oncology 1 7C1: 10705","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","3","0.1"
"Oncology 1 7C1: 10705","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","4","0.2"
"Oncology 1 7C1: 10705","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","14","0.5"
"Oncology 1 7C1: 10705","CLINICAL NURSE (RN): 5334","EXPS-Skin Exposure BBP","1","0.0"
"Oncology 1 7C1: 10705","CLINICIAN: 5371","EXPMM- Mucous Membrane BBP","1","0.0"
"Oncology 1 7C1: 10705","CLINICIAN: 5371","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Oncology 1 7C1: 10705","NURSE TECH - R1: 5380","EXPMM- Mucous Membrane BBP","1","0.0"
"One Davis Bldg: 20500","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Orthopedic Trauma 9C1: 10005","CLINICAL NURSE (RN): 5334","CD-Influenza Exposure","1","0.0"
"Orthopedic Trauma 9C1: 10005","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","4","0.2"
"Orthopedic Trauma 9C1: 10005","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","1","0.0"
"Orthopedic Trauma 9C1: 10005","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","8","0.3"
"Orthopedic Trauma 9C1: 10005","NURSE TECH - R1: 5380","EXP- Not considered  BBP Exp","1","0.0"
"Orthopedic Trauma 9C1: 10005","Orientation RN: 5401","EXP- Not considered  BBP Exp","1","0.0"
"Orthopedic Trauma 9C1: 10005","PATIENT CARE TECH: 5342","EXP- No Exposure","1","0.0"
"Orthopedic Trauma 9C1: 10005","PATIENT CARE TECH: 5342","EXPS-Skin Exposure BBP","1","0.0"
"Outpatient Social Work: 20135","SOCIAL WORKER LCSW: 6731","ENV-Exposure Source Unknown","1","0.0"
"Outpatient Social Work: 20135","SOCIAL WORKER MSW: 6732","ENV-Exposure Source Unknown","1","0.0"
"Parathyroid Center: 11615","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Parathyroid Center: 11615","PARATHYROID PROGRAM COORDINATO: 5996","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Parathyroid Center: 11615","Surgical Tech 1: 5982","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Parathyroid Center: 11615","Surgical Tech 2: 5978","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Parathyroid Center: 11615","Surgical Tech 3: 5979","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Pastoral Care: 14600","CHAPLAIN, CL PAST ED: 133","TB-Exposure Confirmed/Actual","2","0.1"
"Pastoral Care: 14600","RESIDENT CHAPLAIN: 90131","TB-Exposure Confirmed/Actual","1","0.0"
"Pastoral Care: 14600","RESIDENT CHAPLAIN: 90131","Unspecified","1","0.0"
"Patient Accounts: 20750","PATIENT ACCT SPCLST: 5110","ENV-Exposure To Chemical","1","0.0"
"Patient Experience: 12110","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Patient Registration-ED: 20745","Fin Counselor Team Leader: 5085","CD-Pertussis Exposur Confirmed","2","0.1"
"Patient Registration-ED: 20745","FINANCIAL COUNSELOR: 5109","CD-N.Meningitis  Exp Confirmed","2","0.1"
"Patient Registration-ED: 20745","FINANCIAL COUNSELOR: 5109","CD-Pertussis Exposur Confirmed","21","0.8"
"Patient Registration-ED: 20745","FINANCIAL COUNSELOR: 5109","EXP- Not considered  BBP Exp","1","0.0"
"Patient Registration-ED: 20745","FINANCIAL COUNSELOR: 5109","EXPNIS- Non-Intact Skin BBP","2","0.1"
"Patient Registration-ED: 20745","FINANCIAL COUNSELOR: 5109","TB-Exposure Confirmed/Actual","2","0.1"
"Patient Registration: 20740","PT ACCESS SPCLST: 5108","CD-Pertussis Exposur Confirmed","2","0.1"
"Patient Registration: 20740","PT ACCESS SPCLST: 5108","ENV-Exposure Source Unknown","1","0.0"
"Patient Registration: 20740","PT ACCESS SPCLST: 5108","TB-Exposure Confirmed/Actual","3","0.1"
"Patient Transport Services: 13505","POOL TRANSPORTER II: 76777","CD-Pediculosis","1","0.0"
"Patient Transport Services: 13505","POOL TRANSPORTER II: 76777","CD-Pertussis Exposur Confirmed","1","0.0"
"Patient Transport Services: 13505","POOL TRANSPORTER II: 76777","ENV-Exposure To Chemical","1","0.0"
"Patient Transport Services: 13505","POOL TRANSPORTER: 76774","TB-Exposure Confirmed/Actual","1","0.0"
"Patient Transport Services: 13505","TRANSPORTER: 6774","CD-Pertussis Exposur Confirmed","2","0.1"
"Patient Transport Services: 13505","TRANSPORTER: 6774","CD-Scabies Norwegian Exposure","2","0.1"
"Patient Transport Services: 13505","TRANSPORTER: 6774","ENV-Exposure Source Unknown","1","0.0"
"Patient Transport Services: 13505","TRANSPORTER: 6774","ENV-Exposure To Chemical","4","0.2"
"Patient Transport Services: 13505","TRANSPORTER: 6774","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Patient Transport Services: 13505","TRANSPORTER: 6774","Unspecified","1","0.0"
"Pediatric Day Hospital: 16415","CLINICAL NURSE (RN): 5334","CD-Pertussis Exposur Confirmed","3","0.1"
"Pediatric Day Hospital: 16415","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Pediatric Day Hospital: 16415","CLINICIAN PEDI SEDATION COORD: 532","CD-Pertussis Exposur Confirmed","1","0.0"
"Pediatric ICU 5C3: 11105","ARNP: 5300","EXPS-Skin Exposure BBP","1","0.0"
"Pediatric ICU 5C3: 11105","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Pediatric ICU 5C3: 11105","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","CHILD LIFE SPCLST: 3755","CD-Pertussis Exposur Confirmed","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","CLINICAL NURSE (RN): 5334","CD-Parvovirus Exposure","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","CLINICAL NURSE (RN): 5334","CD-Pediculosis","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","CLINICIAN: 5371","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","NURSE MGR: 5322","ENV-Exposure Source Unknown","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","POOL RN-C: 75363","EXPMM- Mucous Membrane BBP","1","0.0"
"Pediatrics MedSurg 5E1, 5F1: 11100","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Pharmacy - Inpatient: 15030","CLINICAL PHARMACIST: 5700","ENV-Exposure Source Unknown","1","0.0"
"Pharmacy - Inpatient: 15030","CLINICAL PHARMACIST: 5700","TB-Exposure Confirmed/Actual","1","0.0"
"Pharmacy - Inpatient: 15030","PHARMACOTHERAPY SPEC: 5708","CD-Pertussis Exposur Confirmed","1","0.0"
